,scan,precursormz,totalIonCurrent,injectTime,scanTime
1200,16129,486.216186523438,1068525.375,112.374176025391,44.788396938117
1201,16130,416.221588134766,31654408.0,28.942586898804,44.790551231733
1202,16131,495.758697509766,1286921.25,161.151565551758,44.791314226667
1203,16132,437.224914550781,1813409.25,113.67504119873,44.79428017385
1204,16133,496.721313476563,1146953.875,180.01171875,44.796456013333
1205,16134,638.285278320313,678077.625,240.634948730469,44.7997357128
1206,16135,483.710205078125,1820626.0,76.19945526123,44.804025219467
1207,16137,423.227386474609,5205710.5,47.485633850098,44.808624566383
1208,16138,538.737487792969,713940.75,217.927749633789,44.80975987865
1209,16139,533.247680664063,322577.78125,537.085144042969,44.81370326425
1210,16140,503.218902587891,2238743.5,87.623062133789,44.8229337992
1211,16141,486.216186523438,872469.125,157.441772460938,44.824671166383
1212,16142,416.221588134766,58333864.0,22.0,44.827575373317
1213,16143,495.758697509766,1407141.25,133.195053100586,44.8282160344
1214,16144,437.224914550781,2066118.125,100.213569641113,44.830715455483
1215,16145,496.721313476563,1176398.375,147.473052978516,44.8326650288
1216,16146,638.285278320313,709499.375,241.60871887207,44.835402664517
1217,16147,483.710205078125,1876245.25,99.045822143555,44.839710464517
1218,16149,423.227386474609,5270880.0,46.311550140381,44.844538989317
1219,16150,538.737487792969,713636.375,234.42707824707,44.845650518133
1220,16151,533.247680664063,386373.625,499.278778076172,44.849841854117
1221,16152,503.218902587891,2143475.0,85.615509033203,44.858443611717
1222,16153,486.216186523438,732160.5,195.689254760742,44.86015017785
1223,16154,416.221588134766,94442040.0,22.0,44.863691736533
1224,16155,495.758697509766,1280745.375,127.08723449707,44.86433184935
1225,16156,437.224914550781,2258466.75,92.532455444336,44.866730084283
1226,16157,496.721313476563,992776.625,148.89973449707,44.868551601333
1227,16158,638.285278320313,682951.9375,239.710250854492,44.871313158383
1228,16159,483.710205078125,1726508.0,99.463256835938,44.8755871968
1229,16161,423.227386474609,5683993.5,45.895748138428,44.880585203183
1230,16162,538.737487792969,575942.5,234.184463500977,44.881687723467
1231,16163,533.247680664063,398587.625,418.811584472656,44.8858695952
1232,16164,503.218902587891,1906461.875,88.615676879883,44.893131479483
1233,16165,486.216186523438,704065.25,229.844863891602,44.894893622133
1234,16166,416.221588134766,118448024.0,22.0,44.899004041867
1235,16167,495.758697509766,979569.375,137.892456054688,44.8996452096
1236,16168,437.224914550781,2227683.75,85.891159057617,44.902223888533
1237,16169,496.721313476563,832100.25,173.288955688477,44.9039366336
1238,16170,638.285278320313,661815.9375,248.058441162109,44.907106718133
1239,16171,483.710205078125,1681789.625,106.590431213379,44.9115584768
1240,16173,423.227386474609,5725392.5,41.976169586182,44.916643022383
1241,16174,538.737487792969,589043.875,265.348297119141,44.91768063705
1242,16175,533.247680664063,474730.03125,375.840667724609,44.92238259975
1243,16176,503.218902587891,1736314.5,91.647308349609,44.928926701867
1244,16177,486.216186523438,1093524.75,221.154190063477,44.930733250667
1245,16178,416.221588134766,104282664.0,18.91893196106,44.934698085583
1246,16179,495.758697509766,954087.8125,163.224792480469,44.935310539717
1247,16180,437.224914550781,2100429.0,81.694664001465,44.938308927467
1248,16181,496.721313476563,765397.0625,189.237152099609,44.939950657867
1249,16182,638.285278320313,604820.75,236.88249206543,44.943382848
1250,16183,483.710205078125,1873541.5,102.076370239258,44.947640402117
1251,16185,423.227386474609,5489171.5,43.067886352539,44.952485282667
1252,16186,538.737487792969,572223.1875,275.161895751953,44.953541185333
1253,16187,533.247680664063,467110.40625,337.287200927734,44.958408210933
